,path,label
0,Van/000011.jpg,9
1,laptop/000030.jpg,3
2,tablet pc/000001.jpg,5
3,tablet pc/000025.jpg,5
4,Truck/000035.jpg,8
5,Van/000023.jpg,9
6,electronic watch/000014.jpg,2
7,tablet pc/000009.jpg,5
8,Truck/000031.jpg,8
9,Car/000009.jpg,7
10,Van/000001.jpg,9
11,laptop/000003.jpg,3
12,Van/000031.jpg,9
13,Taxi/000022.jpg,6
14,Truck/000019.png,8
15,Bus/000028.jpg,0
16,Taxi/000024.jpg,6
17,television/000032.jpg,1
18,phone/000039.jpg,4
19,tablet pc/000028.jpg,5
20,electronic watch/000029.jpg,2
21,Van/000010.jpg,9
22,tablet pc/000033.jpg,5
23,tablet pc/000023.jpg,5
24,Taxi/000026.png,6
25,Taxi/000019.jpg,6
26,Truck/000020.jpg,8
27,Taxi/000003.png,6
28,television/000026.jpg,1
29,Car/000038.jpg,7
30,Car/000039.jpg,7
31,Car/000030.jpg,7
32,phone/000008.jpg,4
33,phone/000035.jpg,4
34,Truck/000006.jpg,8
35,Van/000036.jpg,9
36,television/000017.jpg,1
37,electronic watch/000017.jpg,2
38,Taxi/000017.jpg,6
39,Car/000018.jpg,7
40,Van/000003.jpg,9
41,tablet pc/000038.jpg,5
42,Car/000013.jpg,7
43,Bus/000008.jpg,0
44,electronic watch/000036.png,2
45,Taxi/000038.jpg,6
46,electronic watch/000023.jpg,2
47,Truck/000011.jpg,8
48,laptop/000028.jpg,3
49,laptop/000039.jpg,3
50,Van/000030.jpg,9
51,Taxi/000016.jpg,6
52,Van/000002.jpg,9
53,television/000005.jpg,1
54,Car/000010.jpg,7
55,electronic watch/000004.jpg,2
56,Car/000002.jpg,7
57,electronic watch/000040.jpg,2
58,laptop/000018.jpg,3
59,laptop/000011.jpg,3
60,Car/000020.jpg,7
61,Truck/000009.jpg,8
62,tablet pc/000027.jpg,5
63,tablet pc/000003.jpg,5
64,phone/000032.jpg,4
65,Taxi/000008.jpg,6
66,Truck/000003.jpg,8
67,Truck/000027.jpg,8
68,television/000015.jpg,1
69,Van/000019.jpg,9
70,Taxi/000025.jpg,6
71,tablet pc/000010.jpg,5
72,laptop/000012.jpg,3
73,Truck/000022.jpg,8
74,television/000013.jpg,1
75,tablet pc/000034.jpg,5
76,Truck/000032.jpg,8
77,Van/000020.jpg,9
78,Van/000024.jpg,9
79,Car/000035.jpg,7
80,laptop/000038.jpg,3
81,electronic watch/000030.jpg,2
82,Bus/000021.jpg,0
83,tablet pc/000011.jpg,5
84,television/000021.jpg,1
85,phone/000013.jpg,4
86,Car/000003.jpg,7
87,television/000002.jpg,1
88,Truck/000012.jpg,8
89,tablet pc/000019.jpg,5
90,Taxi/000029.jpg,6
