,path,label
0,11/Truck/000001.jpg,8
1,4/Van/000011.jpg,9
2,11/Car/000012.jpg,7
3,9/phone/000033.jpg,4
4,5/laptop/000024.jpg,3
5,6/Van/000007.jpg,9
6,6/phone/000034.png,4
7,1/tablet pc/000014.jpg,5
8,8/Bus/000009.jpg,0
9,12/Taxi/000011.jpg,6
10,6/Truck/000003.jpg,8
11,10/Bus/000031.jpg,0
12,11/tablet pc/000003.jpg,5
13,12/Van/000001.jpg,9
14,3/Truck/000021.jpg,8
15,4/phone/000020.jpg,4
16,8/tablet pc/000031.jpg,5
17,4/television/000016.jpg,1
18,9/Car/000033.png,7
19,10/Taxi/000007.jpg,6
20,4/Bus/000014.png,0
21,6/phone/000011.jpg,4
22,4/phone/000011.jpg,4
23,3/electronic watch/000025.jpg,2
24,7/phone/000017.jpg,4
25,9/electronic watch/000001.jpg,2
26,5/television/000026.png,1
27,8/phone/000014.jpg,4
28,6/phone/000027.jpg,4
29,3/Taxi/000013.jpg,6
30,6/electronic watch/000031.jpg,2
31,12/Truck/000011.jpg,8
32,12/television/000006.jpg,1
33,12/phone/000033.jpg,4
34,8/phone/000018.jpg,4
35,1/phone/000010.png,4
36,5/Taxi/000005.jpg,6
37,9/television/000015.jpg,1
38,1/Car/000016.jpg,7
39,11/phone/000036.jpg,4
40,11/television/000027.jpg,1
41,7/television/000024.jpg,1
42,10/tablet pc/000026.jpg,5
43,4/Taxi/000020.jpg,6
44,4/phone/000022.jpg,4
45,5/laptop/000007.jpg,3
46,5/electronic watch/000001.jpg,2
47,11/Car/000037.jpg,7
48,6/laptop/000024.jpg,3
49,2/Taxi/000039.jpg,6
50,8/electronic watch/000004.jpg,2
51,7/Truck/000012.jpg,8
52,12/Van/000008.jpg,9
53,2/electronic watch/000024.jpg,2
54,2/tablet pc/000009.jpg,5
55,10/Car/000039.jpg,7
56,6/tablet pc/000026.jpg,5
57,4/Car/000012.jpg,7
58,12/Truck/000008.jpg,8
59,5/phone/000031.jpg,4
60,2/Bus/000018.jpg,0
61,11/Taxi/000025.jpg,6
62,7/electronic watch/000013.jpg,2
63,5/Van/000040.jpg,9
64,4/television/000025.jpg,1
65,12/tablet pc/000024.jpg,5
66,1/Taxi/000036.jpg,6
67,2/Taxi/000009.jpg,6
68,4/television/000018.jpg,1
69,5/laptop/000016.jpg,3
70,10/Taxi/000010.jpg,6
71,12/tablet pc/000031.jpg,5
72,5/tablet pc/000004.jpg,5
73,1/Taxi/000011.jpg,6
74,11/Bus/000030.jpg,0
75,7/television/000026.jpg,1
76,8/Bus/000029.jpg,0
77,12/Bus/000023.jpg,0
78,3/phone/000004.jpg,4
79,1/laptop/000004.jpg,3
80,12/Truck/000017.jpg,8
81,1/Taxi/000021.jpg,6
82,5/television/000004.jpg,1
83,10/Bus/000007.jpg,0
84,9/laptop/000018.jpg,3
85,9/television/000028.jpg,1
86,2/television/000018.jpg,1
87,12/Car/000023.jpg,7
88,4/Car/000014.png,7
89,9/Van/000008.jpg,9
90,9/tablet pc/000030.jpg,5
91,7/phone/000023.jpg,4
92,9/laptop/000016.png,3
93,3/Car/000011.jpg,7
94,11/television/000038.jpg,1
95,5/electronic watch/000038.jpg,2
96,9/Taxi/000039.jpg,6
97,3/Van/000008.jpg,9
98,3/laptop/000029.jpg,3
99,7/laptop/000019.jpg,3
100,5/Car/000026.jpg,7
101,4/Taxi/000014.jpg,6
102,1/Taxi/000029.jpg,6
103,10/phone/000001.jpg,4
104,3/tablet pc/000021.jpg,5
105,10/electronic watch/000019.jpg,2
106,7/Truck/000021.jpg,8
107,7/Bus/000030.jpg,0
108,6/Truck/000032.jpg,8
109,10/television/000029.jpg,1
110,6/Bus/000022.jpg,0
111,9/Truck/000004.jpg,8
112,7/phone/000034.jpg,4
113,1/phone/000039.jpg,4
